camp_code,majr_code_1,completed,grantpct,transfer,gpa_final,gpa_first_term,gpa_first_year,cityapp,statapp,natnapp,hscity,hsstate,hsnatn,hsgpa,minor,maj2,ethnicity,act_composite,sat_total
"2","POL","master only (1)",36,0,2.566494,2.444444,2.444444,"Fort Collins","CO","","Memphis","TN","","92.00",0,0,"8. White",,1090
"2","PSY","matched (3)",37,0,3.879518,3.75,3.84375,"Brooklyn","NY","","Brooklyn","NY","","80.48",0,0,"8. White",,1060
"1","HIS","matched (3)",47,0,3.831276,3.666667,3.814815,"","","","Rockville","MD","","91.86",0,0,"8. White",,1430
"1","BUS","master only (1)",0,0,2.956989,3,2.956989,"Oakhurst","NJ","","Ocean","NJ","","78.86",0,0,"8. White",,1370
"1","BUS","matched (3)",9,"master only (1)",3.623762,3.784314,3.784314,"Teaneck","NJ","","Bala Cynwyd","PA","","91.76",0,0,"8. White",,1340
"1","UND","master only (1)",0,0,1.572072,3.055556,2.897436,"West Bloomfield","MI","","Southfield","MI","","84.8",0,0,"8. White",,1120
"1","ENG","matched (3)",21,0,3.872659,3.729167,3.729167,"Teaneck","NJ","","Paramus","NJ","","84.0",0,0,"8. White",,1230
"2","EDU","master only (1)",28,0,3.266667,3.266667,3.266667,"Hollywood","FL","","","","","72.14",0,0,"8. White",,930
"1","BUS","master only (1)",0,0,3.464286,3.714286,3.464286,"Staten Island","NY","","Staten Island","NY","","",0,0,"8. White",,1200
"2","JST","matched (3)",18,0,3.775,3.684211,3.775,"Miami Beach","FL","","Miami Beach","FL","","99.00",0,1,"8. White",,1380
"1","ACC","matched (3)",0,0,3.663043,3.476191,3.645161,"Hollywood","FL","","Miami Beach","FL","","86.3",0,0,"8. White",,1050
"2","BUS","matched (3)",0,0,3.524904,3.350877,3.473118,"West Hempstead","NY","","Uniondale","NY","","94.39",0,0,"8. White",,1240
"1","PHY","matched (3)",104,0,3.719298,3.733333,3.793103,"New Hempstead","NY","","Teaneck","NJ","","84.7",0,0,"8. White",,1230
"2","UND","matched (3)",0,0,3.362319,3.157895,3.157895,"Brooklyn","NY","","Hewlett Bay Park","NY","","88.89",0,0,"8. White",,1100
"2","PSY","matched (3)",29,0,3.892857,3.611111,3.611111,"Englewood","NJ","","Elizabeth","NJ","","96.07",0,0,"8. White",,1320
"1","UND","matched (3)",0,0,3.97971,3.952381,3.978495,"Jerusalem","","ISRAEL","","","","",0,0,"1. Non Resident Alien",,1360
"1","UND","matched (3)",0,"master only (1)",3.409639,3.435897,3.488095,"Wilmington","NC","","Wilmilgton","NC","","86.96",0,0,"2. Unknown",,1250
"1","BUS","matched (3)",28,0,3.433333,3.27451,3.27451,"Rochester","NY","","Rochester","NY","","90.1",0,0,"8. White",,1220
"2","UND","matched (3)",58,0,2.976191,3,3.088235,"Slingerlands","NY","","","","","83",0,0,"8. White",18,870
"1","PHY","matched (3)",0,"master only (1)",3.647727,3,3.241379,"Sharon","MA","","","","","93",0,0,"8. White",,1220
"2","BUS","matched (3)",0,0,3.050179,3.333333,3.433333,"Englewood","NJ","","Elizabeth","NJ","","81.01",0,0,"8. White",,1070
"1","UND","matched (3)",0,0,2.522727,2.555556,2.022989,"Lakewood","NJ","","Ocean","NJ","","78.14",0,0,"8. White",,1170
"1","BUS","matched (3)",21,0,3.382353,3.54386,3.403509,"Brooklyn","NY","","Lawrence","NY","","87.17",0,0,"8. White",,1160
"2","ENG","matched (3)",0,0,3.69697,3.72549,3.666667,"W Hempstead","NY","","Uniondale","NY","","95.12",1,0,"8. White",,1290
"1","BUS","master only (1)",0,0,3.416667,3.416667,3.416667,"Buenos Aires","","ARGENTINA","","","","",0,0,"1. Non Resident Alien",,1090
"2","UND","matched (3)",0,0,3.541667,3.666667,3.6,"Englewood","NJ","","Elizabeth","NJ","","80.30",0,0,"8. White",,1120
"1","UND","master only (1)",31,0,3.764706,4,4,"Morristown","NJ","","Pittsburgh","PA","","94.72",0,0,"8. White",,1260
"2","PSY","matched (3)",0,0,3.424528,3.520833,3.416667,"Los Angeles","CA","","Los Angeles","CA","","92.50",0,0,"8. White",,1320
"1","BUS","matched (3)",0,0,3.602273,3.615385,3.64,"New York","NY","","New York","NY","","85.44",0,0,"8. White",,1470
"1","UND","matched (3)",59,0,3.589744,3.577778,3.555556,"Great Neck","NY","","","","","",0,0,"8. White",,1180
"1","UND","matched (3)",80,0,2.406163,2.372549,2.808081,"Southfield","MI","","Southfield","MI","","86.00",0,0,"8. White",,1300
"1","BUS","matched (3)",26,0,3.22963,3.153846,3.452381,"Los Angeles","CA","","Los Angeles","CA","","88.4",0,0,"8. White",,1080
"1","UND","matched (3)",65,0,2.944444,3.428571,3.308642,"Jamaica","NY","","White Oak","PA","","",0,0,"8. White",,1250
"1","POL","matched (3)",59,0,3.918239,3.941176,3.931035,"East Brunswick","NJ","","Brooklyn","NY","","96.38",0,1,"8. White",,1420
"1","UND","master only (1)",0,0,2.226087,2.289855,2.642424,"Great Neck","NY","","New York","NY","","79.7",0,0,"8. White",,1400
"1","BUS","matched (3)",0,0,4,4,4,"","","","Paramus","NJ","","A-",0,0,"2. Unknown",,1380
"2","ENG","matched (3)",58,0,2.44,2.0625,1.84375,"Brooklyn","NY","","Kew Gardens Hills","NY","","84.68",0,0,"8. White",,1140
"1","MAT","matched (3)",77,0,3.529716,3.428571,3.433333,"College Station","TX","","","","","91.41",0,0,"8. White",,1470
"1","UND","matched (3)",59,0,3.989583,3.941176,3.970588,"Atlanta","GA","","Baltimore","MD","","98.6",0,0,"8. White",,1490
"2","BIO","matched (3)",0,0,3.446602,3.45098,3.561905,"Teaneck","NJ","","Elizabeth","NJ","","87.68",0,0,"8. White",,1220
"1","PRE","master only (1)",61,0,3.881721,4,3.96875,"Woodland Hills","CA","","Los Angeles","CA","","85.43",0,0,"8. White",,1130
"2","UND","master only (1)",22,0,3.666667,3.566667,3.666667,"Monsey","NY","","Elizabeth","NJ","","95.26",0,0,"8. White",,1360
"2","BUS","matched (3)",77,0,3.93,3.888889,3.866667,"New City","NY","","Suffern","NY","","91.00",0,0,"8. White",,1440
"1","UND","matched (3)",18,0,3.937729,4,4,"W. Hartford","CT","","New York","NY","","91.73",0,0,"8. White",,1390
"2","UND","matched (3)",0,0,3.898039,3.947368,3.91453,"Woodmere","NY","","Hewlett Bay Park","NY","","95.29",0,0,"8. White",,1310
"1","ACC","matched (3)",0,0,3.876405,3.727273,3.821429,"Hollywood","FL","","","","","90.0",0,0,"8. White",,1040
"2","BUS","matched (3)",57,0,3.595238,3.466667,3.666667,"Baltimore","MD","","Owing Mills","MD","","82.20",0,0,"8. White",,1150
"2","JST","matched (3)",92,0,3.324324,3.588235,3.324324,"Willowdale","ON","CANADA","Downsview","ON","CANADA","95.00",0,1,"8. White",,1420
"1","UND","matched (3)",0,0,3.962585,3.784314,3.892157,"Houston","TX","","Houston","TX","","92.00",0,0,"8. White",,1190
"2","UND","matched (3)",0,0,3.282051,3.291667,3.260417,"Forest Hills","NY","","New York","NY","","87.42",0,0,"8. White",,1120
"2","PSY","matched (3)",0,0,2.96,3.333333,3.259259,"Cleveland","OH","","Beachwood","OH","","79.77",1,0,"8. White",,900
"1","BUS","matched (3)",0,0,3.112319,3.355556,3.266667,"Woodmere","NY","","Cedarhurst","NY","","77.45",0,0,"8. White",,1260
"2","PSY","matched (3)",71,0,3.7375,3.9375,3.961539,"Spring Valley","NY","","","","","A",0,0,"8. White",,1180
"1","BIO","matched (3)",76,0,3.686957,3.666667,3.513889,"Columbus","OH","","Columbus","OH","","97.72",0,0,"8. White",,1560
"1","BUS","matched (3)",0,0,3.755814,3.882353,3.882353,"","","","Brooklyn","NY","","87.33",0,0,"8. White",,1280
"1","UND","matched (3)",77,0,3.73913,3.897436,3.758621,"Skokie","IL","","Skokie","IL","","94.2",0,0,"8. White",,1440
"1","COM","master only (1)",101,"master only (1)",2.063725,3.333333,2.839081,"Morristown","NJ","","","","","",0,0,"1. Non Resident Alien",,
"2","BIO","matched (3)",0,0,3.355556,3.625,3.733333,"Atlantic Beach","NY","","Cedarhurst","NY","","91.52",0,0,"8. White",,1170
"1","UND","matched (3)",52,0,3.088319,3.095238,3.264368,"Woodmere","NY","","Cedarhurst","NY","","89.16",0,0,"8. White",,1270
"2","JST","matched (3)",0,0,3.739927,4,3.848485,"New York","NY","","Holliswood","NY","","81.86",0,0,"8. White",,1050
"2","BUS","matched (3)",58,0,3.011655,3.2,3.181818,"Highland Park","NJ","","Ocean","NJ","","81.70",0,0,"8. White",,1020
"1","BUS","matched (3)",38,0,3.609091,3.648148,3.648148,"Miami Beach","FL","","Miami","FL","","",0,0,"1. Non Resident Alien",,950
"2","BUS","matched (3)",0,0,3.818182,3.9375,3.884615,"Sherman Oaks","CA","","Valley Village","CA","","92.89",0,0,"8. White",,1250
"1","BUS","master only (1)",60,0,2.866667,2.777778,2.866667,"Los Angeles","CA","","Los Angeles","CA","","91.00",0,0,"8. White",,1110
"1","UND","matched (3)",59,0,3.622222,3.733333,3.833333,"Forest Hills","NY","","Lawrence","NY","","94.27",0,0,"8. White",,1500
"2","SHA","matched (3)",15,0,3.630282,3.733333,3.733333,"Teaneck","NJ","","Elizabeth","NJ","","88.59",0,0,"8. White",,1270
"1","BUS","matched (3)",17,0,3.144385,3.375,3.375,"Staten Island","NY","","Brooklyn","NY","","B",0,0,"8. White",,1000
"1","COM","matched (3)",47,0,3.651042,3.738095,3.591398,"Far Rockaway","NY","","Lawrence","NY","","91.6",0,0,"2. Unknown",,1470
"1","LAW","master only (1)",0,"master only (1)",3.030769,2.976191,3.043011,"Lawrence","NY","","Cedarhurst","NY","","85.14",0,0,"8. White",,1430
"2","PRH","master only (1)",0,0,2.301587,2.714286,2.955556,"Elizabeth","NJ","","Suffern","NY","","79.30",0,0,"8. White",,1080
"2","SPAU","master only (1)",0,0,3.666667,3.666667,3.666667,"Brooklyn","NY","","Brooklyn","NY","","95.76",0,0,"8. White",,1060
"2","ENG","matched (3)",18,0,3.835341,3.666667,3.7,"Englewood","NJ","","Paramus","NJ","","89.01",0,1,"8. White",,1340
"1","BUS","matched (3)",16,0,2.56,3,3,"Woodmere","NY","","Uniondale","NY","","80.08",0,0,"8. White",,910
"2","UND","matched (3)",71,0,3.223443,2.923077,3.173913,"Los Angeles","CA","","Los Angeles","CA","","84.17",0,0,"8. White",,810
"2","PSY","master only (1)",0,0,2.846154,3.357143,2.846154,"Chalfont","PA","","","","","87.50",0,0,"8. White",,1330
"1","UND","matched (3)",0,0,2.939759,3.047619,3.047619,"Skokie","IL","","Skokie","IL","","84.3",0,0,"8. White",,
"2","BUS","matched (3)",30,0,3.673469,3.8,3.697917,"North Woodmere","NY","","Hewlett Bay Park","NY","","87.26",1,0,"8. White",,1170
"1","POL","matched (3)",18,0,3.670683,3.666667,3.676768,"West Orange","NJ","","Paramus","NJ","","87.77",0,0,"8. White",,1180
"1","UND","matched (3)",65,0,3.875758,4,4,"Kew Gardens","NY","","Forest Hills","NY","","89.00",0,0,"8. White",,1250
"1","UND","matched (3)",94,0,3.625,3.690476,3.83871,"Forest Hills","NY","","Forest Hills","NY","","89.94",0,0,"8. White",,1070
"1","BIO","master only (1)",101,0,3.7,3.844445,3.7,"Montreal","QC","CANADA","","","","88.61",0,0,"1. Non Resident Alien",,
"1","BUS","matched (3)",52,0,3.962963,3.928571,3.928571,"Baltimore","MD","","Baltimore","MD","","94.5",0,0,"8. White",,1500
"2","SHA","matched (3)",71,0,3.342857,3.333333,3.4375,"El Paso","TX","","","","","88.54",0,0,"8. White",,990
"1","UND","master only (1)",0,0,2.716216,3.333333,3.333333,"Lawrence","NY","","New York","NY","","",0,0,"8. White",,1250
"1","BUS","matched (3)",18,0,3.989011,4,4,"Los Angeles","CA","","","","","",0,0,"8. White",,1310
"2","PRH","matched (3)",60,0,3.666667,3.583333,3.632479,"Brooklyn","NY","","Brooklyn","NY","","97.00",0,0,"8. White",,1110
"1","0000","matched (3)",0,0,4,4,4,"","","","Paramus","NJ","","0",0,0,"2. Unknown",,1340
"2","PRH","matched (3)",54,0,3.390023,3.458333,3.356322,"Brooklyn","NY","","Brooklyn","NY","","98.00",0,0,"8. White",,1050
"1","UND","master only (1)",9,0,3.145833,3.145833,3.145833,"Syracuse","NY","","Skokie","IL","","88.5",0,0,"8. White",,1400
"2","BUS","matched (3)",47,"master only (1)",3.427536,3.380952,3.427536,"Chicago","IL","","Silver Spring","MD","","95.00",0,0,"8. White",,1300
"1","BUS","matched (3)",0,0,3.573034,3.333333,3.333333,"Miami","FL","","Miami Beach","FL","","89",0,0,"8. White",,1120
"1","BIO","matched (3)",0,0,3.707904,3.844445,3.839506,"Bronx,","NY","","Silver Spring","MD","","86.55",0,0,"8. White",,1460
"1","BUS","matched (3)",36,0,3.123016,3.72549,3.72549,"Staten Island","NY","","Brooklyn","NY","","84.2",0,0,"8. White",,1150
"1","BUS","matched (3)",0,0,3.460317,3.196079,3.196079,"Englewood","NJ","","Paramus","NJ","","81.5",0,0,"8. White",,1190
"2","EDU","matched (3)",0,0,3.631372,3.807018,3.697917,"Mequon","WI","","","","","93.60",0,0,"8. White",22,
"2","HIS","matched (3)",59,0,4,4,4,"Newton","MA","","Brookline","MA","","95.30",1,0,"8. White",,1510
"1","BUS","matched (3)",0,0,3.319559,3.027778,3.055556,"Los Angeles","CA","","Los Angeles","CA","","85",0,0,"8. White",,1200
"1","BUS","master only (1)",0,0,1.25,1.25,1.25,"Los Angeles","CA","","Los Angeles","CA","","82.47",0,0,"8. White",,
"1","BUS","matched (3)",0,0,3.420455,3.72549,3.568627,"Flushing","NY","","New York","NY","","88.30",0,0,"8. White",,1250
"1","UND","master only (1)",0,0,3.133333,2.904762,3.133333,"Woodmere","NY","","Lawrence","NY","","83.9",0,0,"8. White",,1090
"1","LAW","matched (3)",0,0,3.015594,2.858586,2.858586,"Brooklyn","NY","","Ocean","NJ","","81.57",0,0,"8. White",,1160
"1","COM","matched (3)",65,0,3.1341,3.479167,3.393939,"","","","Skokie","IL","","A",0,0,"8. White",,1240
"1","JST","matched (3)",0,"master only (1)",3.438596,3.803921,3.647059,"Niskayuna","NY","","Foreign City","","Unknown Nation","88",0,0,"8. White",,1180
"2","BIO","matched (3)",56,0,3.531353,3.589744,3.28125,"Scranton","PA","","New Haven","CT","","92.81",0,0,"8. White",,1100
"2","EDU","master only (1)",0,0,3.583333,3.666667,3.583333,"Woodmere","NY","","Hewlett Bay Park","NY","","93.50",0,0,"8. White",,1010
"2","SPAU","matched (3)",36,"master only (1)",3.034364,2.972222,3.309524,"Aberdeen","NJ","","South River","NJ","","93.22",1,0,"8. White",,870
"2","PSY","matched (3)",32,0,3.837037,3.866667,3.866667,"New York","NY","","Chicago","IL","","90.00",0,0,"8. White",26,
"1","ACC","matched (3)",0,"master only (1)",3.344828,3.794872,3.678161,"Elizabeth","NJ","","Suffern","NY","","90.06",0,0,"8. White",,1080
"2","PSY","matched (3)",62,"master only (1)",3.939759,3.954545,3.977273,"New York","NY","","Los Angeles","CA","","95.00",0,1,"8. White",,1080
"1","BUS","matched (3)",14,"master only (1)",3.583333,3.764706,3.617647,"Houston","TX","","Pittsburgh","PA","","90.00",0,0,"8. White",,1290
"2","EDU","master only (1)",0,0,3.106061,3.106061,3.106061,"Teaneck","NJ","","Elizabeth","NJ","","81.34",1,0,"8. White",,1300
"1","HIS","matched (3)",44,0,3.705882,3.529412,3.647059,"Flushing","NY","","Staten Island","NY","","87.88",0,0,"8. White",,1210
"2","UND","master only (1)",0,0,2.37037,2.6,2.37037,"Jamaica","NY","","Fresh Meadows","NY","","84.27",0,0,"8. White",32,1100
"1","UND","matched (3)",18,0,3.786517,3.866667,3.806452,"Lawrence","NY","","Lawrence","NY","","95.9",0,0,"8. White",,1450
"2","UND","matched (3)",18,0,3.375,3.266667,3.484848,"Raanana","","ISRAEL","Foreign City","","Unknown Nation","",0,1,"8. White",,1320
"1","ACC","matched (3)",71,0,3.634615,3.638889,3.773333,"Toulouse","","FRANCE","","","","",0,0,"1. Non Resident Alien",,
"1","MAT","matched (3)",59,0,3.903704,3.904762,3.885057,"Silver Spring","MD","","Rockville","MD","","95",0,0,"8. White",,1480
"2","UND","matched (3)",59,0,3.68642,3.555556,3.69697,"Charleston","SC","","","","","89.19",0,0,"8. White",,1430
"2","SPAU","matched (3)",0,0,3.804598,3.933333,3.933333,"Saint Louis","MO","","St. Louis","MO","","94.67",0,0,"8. White",,1110
"1","BUS","matched (3)",0,0,3.272401,3.62963,3.62963,"West Orange","NJ","","Paramus","NJ","","83.4",0,0,"8. White",,1050
"2","BIO","matched (3)",0,0,3.655303,3.666667,3.586207,"Passaic","NJ","","Elizabeth","NJ","","87.18",0,0,"8. White",,1120
"2","BIO","matched (3)",24,0,3.615151,3.923077,3.923077,"Elkins Park","PA","","Bala Cynwyd","PA","","94.31",0,0,"8. White",,1130
"2","PSY","matched (3)",65,0,3.894737,3.888889,3.894737,"New York","NY","","Elizabeth","NJ","","90.08",0,1,"8. White",,1270
"2","MAT","matched (3)",33,0,3.539945,2.625,2.625,"Southfield","MI","","Southfield","MI","","90.85",0,0,"8. White",,1190
"2","UND","matched (3)",12,0,3.551724,3.6,3.6,"Hewlett","NY","","Hewlett Bay Park","NY","","85.28",0,0,"8. White",,1270
"1","PRE","matched (3)",0,0,3.676568,3.176471,3.509804,"Lawrence","NY","","Cedarhurst","NY","","90.98",0,0,"8. White",,1270
"1","UND","matched (3)",36,0,3.05614,3.604167,3.604167,"Brooklyn","NY","","Brooklyn","NY","","81.54",0,0,"8. White",,1270
"1","BUS","matched (3)",0,0,2.65812,2.897436,2.910256,"Flushing","NY","","New York","NY","","67.32",0,0,"8. White",,1070
"1","ACC","master only (1)",65,0,3.5,3.4375,3.516129,"Great Neck","NY","","Uniondale","NY","","72.0",0,0,"8. White",,1170
"2","SOC","master only (1)",0,0,3.666667,3.666667,3.666667,"New York","NY","","","","","",0,0,"8. White",,
"2","BUS","matched (3)",24,0,3.154639,3,3.147059,"New York","NY","","Brooklyn","NY","","87.88",0,0,"8. White",,1030
"1","BUS","matched (3)",89,0,3.806123,4,3.969697,"Flushing","NY","","Lawrence","NY","","96.59",0,0,"8. White",,1510
"2","BUS","matched (3)",65,0,3.157333,3.466667,3.444444,"Brooklyn","NY","","Brooklyn","NY","","87.00",0,0,"8. White",,1060
"1","BUS","master only (1)",0,"master only (1)",2.644928,3.291667,2.966667,"New Rochelle","NY","","","","","80",0,0,"8. White",,1180
"1","BUS","matched (3)",71,0,2.991968,2.9,2.925926,"Bronx","NY","","New York","NY","","79.20",0,0,"8. White",,1010
"2","BIO","matched (3)",0,0,3.711111,3.666667,3.633333,"Woodmere","NY","","Cedarhurst","NY","","94.50",0,1,"8. White",,1220
"2","SPAU","matched (3)",27,0,3.957895,4,4,"Teaneck","NJ","","","","","A",0,1,"8. White",,1320
"1","ENG","matched (3)",66,0,3.300366,3.261905,3.057471,"Woodmere","NY","","Cedarhurst","NY","","81.49",0,0,"8. White",,1240
"1","COM","matched (3)",18,0,3.579288,3.952381,3.946237,"Skokie","IL","","Chicago","IL","","91.77",0,0,"8. White",,1380
"2","JST","matched (3)",18,0,3.75641,3.8,3.766667,"","","","","","","93",0,0,"8. White",,1290
"2","SPAU","matched (3)",23,0,2.980843,2.111111,2.111111,"Monsey","NY","","Suffern","NY","","92.04",0,0,"8. White",,1070
"2","UND","master only (1)",63,0,3.541333,3.6,3.541667,"Brooklyn","NY","","Brooklyn","NY","","85",0,0,"8. White",,1000
"1","UND","master only (1)",0,0,2.4,2.4,2.4,"Lakewood","NJ","","South River","NJ","","88.9",0,0,"8. White",,1190
"2","PSY","matched (3)",30,0,3.567376,3.733333,3.733333,"Clifton","NJ","","Elizabeth","NJ","","84.07",0,0,"8. White",,1190
